"Ulke" "Z_1" "Z_2" "Z_3" "Z_4" "Z_5" "O_1" "O_2" "O_3" "O_4" "O_5" "O_6" "O_7" "O_8"
792 3 3 3 3 3 2 3 3 2 3 2 2 3
792 3 3 3 3 3 2 2 3 1 2 2 1 1
792 2 2 2 3 3 1 1 1 2 2 2 3 3
792 3 3 2 3 3 3 3 3 2 2 3 3 2
792 3 3 2 4 4 2 1 2 2 1 3 3 2
792 1 1 1 1 1 2 4 4 3 4 4 4 4
792 3 3 3 3 3 2 3 2 1 2 3 3 2
792 3 3 3 3 3 2 1 2 1 1 1 1 1
792 4 4 4 4 4 1 1 2 1 1 2 2 1
792 3 2 2 2 3 2 1 2 2 1 3 3 3
792 4 4 4 4 4 3 3 3 3 3 3 3 3
792 3 4 3 3 4 2 1 1 3 1 1 4 1
792 3 3 3 4 4 2 1 1 1 1 1 3 1
792 3 3 3 4 3 4 NA 1 3 3 1 2 1
792 4 4 4 4 4 2 2 1 1 2 1 2 1
792 3 3 4 3 3 1 2 1 2 2 3 1 1
792 2 2 2 2 2 3 3 3 3 2 2 4 2
792 3 3 3 3 4 4 2 2 2 2 1 2 1
792 2 2 2 2 2 2 NA 2 1 2 1 2 1
792 2 1 2 2 2 2 3 3 2 4 4 3 2
792 2 2 2 2 2 1 1 1 2 3 3 3 1
792 3 3 4 3 4 3 4 3 NA 2 4 2 1
792 2 3 3 3 3 4 3 2 2 2 4 4 3
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 1 2 2 3 4 1 2 3 2 2 3 4 4
792 2 3 2 3 3 2 1 2 1 2 2 2 1
792 3 3 2 3 3 4 4 2 4 3 2 2 3
792 4 4 4 4 4 2 3 3 3 2 2 2 2
792 1 2 2 3 3 2 2 3 3 4 4 4 4
792 3 3 3 3 3 1 1 2 1 2 1 1 1
792 3 3 3 3 3 3 3 3 3 3 3 3 3
792 1 1 1 1 1 2 1 3 3 3 3 3 4
792 2 3 3 3 3 2 2 2 2 1 2 2 1
792 2 2 2 2 2 2 2 1 1 1 2 1 1
792 3 3 3 3 3 2 2 2 2 3 1 2 4
792 3 3 4 2 3 2 1 2 2 1 1 2 1
792 3 3 3 3 3 2 NA 2 2 2 2 2 2
792 2 1 NA 1 1 2 1 2 3 2 2 3 4
792 3 2 NA 2 3 2 2 2 1 2 1 2 1
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA 2 2 2 2 2 2 2 2
792 2 2 2 2 2 1 1 1 1 1 1 1 1
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 1 2 1 NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 2 3 NA 3 3 2 2 2 2 2 2 2 2
792 4 4 4 4 4 1 2 2 3 2 2 3 2
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 3 3 3 3 3 NA NA NA NA NA NA NA NA
792 1 2 3 4 3 1 4 1 1 4 1 1 1
792 4 4 4 4 4 3 3 3 3 3 3 3 3
792 1 3 2 2 3 4 4 2 2 2 2 2 2
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 1 1 1 1 1 2 2 NA 2 2 2 2 2
792 3 3 3 3 3 1 1 2 2 2 2 2 2
792 3 3 3 3 3 NA NA NA NA NA NA NA NA
792 1 1 1 1 1 2 1 1 1 1 1 1 1
792 2 2 3 3 3 2 2 3 3 4 4 4 3
792 1 4 3 2 1 3 2 1 2 3 4 3 2
792 1 1 1 1 1 4 4 4 4 4 4 4 4
792 2 2 2 2 2 3 3 3 3 3 3 3 3
792 3 3 4 4 4 2 2 2 2 2 2 2 2
792 3 2 3 4 4 2 2 2 2 2 2 2 2
792 3 3 3 3 4 2 2 3 2 2 3 3 1
792 4 4 4 4 4 1 1 1 1 1 1 1 1
792 3 3 2 3 3 2 2 4 3 2 2 2 2
792 4 2 4 3 4 1 1 1 2 2 1 2 2
792 1 1 1 1 1 2 2 2 2 2 2 2 2
792 3 3 3 3 3 2 2 2 2 1 1 1 1
792 1 1 1 1 1 1 1 1 1 1 1 1 1
792 4 4 4 4 4 1 2 1 2 2 2 2 2
792 3 4 3 3 3 2 2 2 3 2 2 3 3
792 3 2 2 2 2 1 2 3 3 3 3 3 3
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 3 2 2 3 3 3 4 2 2 2 3 4 2
792 4 4 3 4 4 2 2 2 2 2 2 2 2
792 3 3 1 1 1 1 2 2 2 1 2 2 1
792 1 1 1 1 1 3 3 3 3 3 3 3 3
792 3 2 3 3 3 2 2 2 2 3 3 4 3
792 4 4 4 4 4 1 1 4 1 1 1 1 1
792 4 2 4 4 4 1 1 1 1 1 1 1 1
792 2 2 NA 2 2 2 2 2 1 2 2 2 2
792 1 3 4 4 4 2 2 2 2 2 2 2 3
792 3 2 3 3 3 2 2 2 2 2 2 2 2
792 2 2 2 2 2 1 2 2 1 3 2 1 2
792 3 3 3 3 3 1 1 1 2 2 1 1 1
792 2 2 2 2 2 4 4 4 2 4 4 4 4
792 4 4 4 4 4 2 2 3 3 4 3 4 3
792 2 2 2 3 3 2 2 3 2 3 2 2 2
792 3 3 3 3 3 2 3 3 3 2 3 3 3
792 1 1 1 1 1 2 3 3 3 2 2 3 4
792 2 2 2 1 1 3 3 2 2 1 1 1 4
792 3 2 1 3 3 1 2 2 3 4 3 3 3
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 2 2 2 2 3 3 3 3 2 2 3 4 4
792 3 1 2 2 3 3 3 3 2 3 2 4 4
792 4 4 3 2 3 4 3 2 1 2 3 4 3
792 2 2 2 2 2 2 2 3 3 3 2 2 2
792 3 4 4 4 4 1 2 4 1 2 1 1 3
792 3 2 3 3 3 3 1 4 3 2 2 2 2
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 2 3 2 3 3 2 2 2 2 2 2 2 2
792 2 3 2 2 2 2 2 4 2 2 2 2 2
792 3 4 2 3 3 2 3 3 2 1 1 2 2
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 2 2 1 1 1 1 1 1 1 1 1 1 1
792 3 4 3 3 4 1 1 1 1 1 1 2 2
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 2 2 2 2 2 2 2 2 2 2 3 3 2
792 4 3 3 3 3 2 1 2 1 1 2 3 2
792 4 4 4 4 4 2 1 4 3 4 3 2 4
792 3 3 3 3 3 2 2 2 2 3 4 4 3
792 2 3 2 3 3 4 2 2 2 4 4 2 3
792 2 2 2 2 2 4 4 2 4 4 4 4 4
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 3 3 3 3 3 1 1 2 2 2 1 2 1
792 2 3 2 3 3 4 4 4 4 4 4 4 4
792 3 2 2 3 3 2 2 2 2 2 2 2 2
792 2 3 2 2 2 2 2 2 2 3 2 3 NA
792 2 3 2 3 2 2 2 2 2 2 2 2 2
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 1 1 1 1 1 4 4 4 4 4 4 3 4
792 4 4 4 4 4 1 2 1 2 2 1 1 1
792 1 4 2 3 4 2 3 2 2 1 1 1 4
792 3 3 3 3 3 2 4 1 2 2 1 1 2
792 4 4 4 4 4 2 2 1 2 2 1 1 1
792 3 3 2 3 3 1 2 3 3 3 2 4 3
792 3 3 4 3 3 2 2 3 3 3 4 4 4
792 3 3 3 3 3 3 3 3 3 3 3 1 3
792 3 3 3 3 3 2 1 1 1 NA 1 1 1
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 4 4 4 4 4 1 2 1 1 1 1 2 1
792 2 3 2 1 3 1 2 1 1 2 3 3 4
792 4 4 3 4 4 2 2 1 1 1 1 2 1
792 2 4 4 4 4 3 3 3 3 3 3 3 3
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 2 2 2 2 2 3 1 2 2 2 2 2 2
792 3 4 2 4 4 2 2 2 1 1 3 2 2
792 3 3 3 3 3 2 1 1 2 2 2 2 1
792 4 4 4 4 4 1 1 1 1 1 1 1 1
792 3 3 2 3 3 2 3 4 3 4 2 2 3
792 1 1 1 1 1 2 2 2 2 2 2 2 2
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 2 3 2 3 2 2 2 2 3 2 3 2 3
792 2 2 2 2 2 3 3 3 3 3 3 4 3
792 1 1 1 1 1 1 1 1 1 1 1 1 1
792 NA NA NA NA NA 2 2 2 1 2 2 NA 2
792 3 2 3 2 3 1 1 1 2 3 4 3 3
792 2 2 3 3 3 3 2 2 3 3 NA 2 2
792 4 4 4 4 4 2 2 2 2 2 2 2 2
792 1 1 1 1 1 2 NA 1 3 2 1 3 4
792 3 3 3 3 3 1 2 1 2 1 2 1 2
792 3 3 3 3 3 1 1 1 1 1 1 1 1
792 3 3 2 3 3 2 3 3 3 3 2 1 2
792 3 3 3 3 3 2 2 3 3 3 3 4 4
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 3 2 3 3 3 2 2 3 2 2 2 2 2
792 2 3 4 3 3 1 2 2 4 2 2 1 1
792 2 3 2 3 3 1 2 2 2 2 2 3 3
792 2 2 2 2 2 2 2 2 2 2 2 2 2
792 2 2 2 3 3 3 4 3 3 2 3 2 2
792 1 1 1 1 1 2 2 1 2 1 1 3 2
792 4 4 4 4 4 2 2 2 3 2 2 3 2
792 3 3 3 3 3 2 2 2 2 2 2 3 3
792 3 2 3 2 3 2 2 2 2 2 2 2 2
792 3 1 2 2 2 2 3 4 1 4 3 4 1
792 1 1 1 1 1 2 3 4 4 4 4 4 4
792 2 2 2 2 2 2 2 2 2 2 2 2 2
792 1 1 1 1 1 4 3 3 3 3 3 3 3
792 1 2 1 2 3 1 2 2 3 4 4 3 2
792 2 2 2 2 2 2 2 2 2 2 2 2 2
792 3 2 3 3 3 2 1 3 1 1 1 1 1
792 3 3 2 3 2 4 2 2 2 1 1 4 1
792 3 2 2 3 3 1 1 3 3 3 3 1 3
792 3 3 3 3 3 1 1 1 1 1 1 1 1
792 2 2 3 2 2 3 2 2 2 2 2 2 2
792 1 1 1 1 3 4 4 4 4 4 4 4 4
792 2 2 2 2 2 3 3 3 3 3 3 3 3
792 3 3 3 3 3 2 1 1 1 1 2 1 1
792 3 3 3 3 3 1 1 1 1 1 1 1 1
792 4 3 2 1 2 4 4 4 4 4 4 4 2
792 2 1 2 3 3 2 2 3 3 2 2 1 2
792 3 3 3 3 3 1 1 1 1 1 1 1 1
792 2 4 2 3 2 1 1 2 1 1 1 1 1
792 3 3 3 3 3 1 1 1 1 1 1 1 1
792 1 2 3 1 2 2 4 3 2 4 4 3 3
792 1 1 1 1 1 1 2 1 1 1 1 1 1
792 2 2 2 2 2 2 2 2 1 1 1 1 1
792 2 2 2 2 2 4 4 4 4 4 4 4 4
792 3 3 3 3 3 2 1 2 2 2 2 3 3
792 3 3 3 3 3 1 1 4 4 4 4 4 4
792 2 2 2 2 2 2 2 3 3 3 2 2 3
792 2 2 2 2 3 2 2 2 2 2 2 2 2
792 2 2 2 2 1 1 1 1 1 3 1 1 1
792 4 4 4 4 4 4 4 4 4 4 4 4 4
792 2 2 2 2 1 2 3 3 3 3 3 3 3
792 2 2 2 1 1 1 1 2 1 2 3 4 2
792 2 2 2 2 2 3 3 3 3 3 3 3 3
792 4 4 4 4 4 1 1 1 1 1 1 1 1
792 3 3 3 4 3 1 3 3 1 3 3 2 3
792 3 3 3 3 3 4 4 4 4 3 3 3 3
792 3 3 3 3 3 1 1 1 1 1 1 1 1
792 1 1 1 1 1 1 1 1 1 1 1 1 1
792 3 3 3 3 3 2 2 2 2 2 3 4 3
792 3 1 3 3 3 2 1 2 1 2 1 2 1
792 4 4 4 4 4 4 4 3 4 2 2 2 4
792 3 3 2 3 2 2 2 2 2 1 2 1 2
792 4 4 4 4 4 1 1 1 1 2 2 1 1
792 3 2 2 2 2 1 1 1 1 1 1 1 1
792 3 1 1 1 3 1 2 3 3 2 3 2 3
792 3 3 3 3 3 2 3 4 2 1 2 4 1
792 2 3 2 3 4 3 2 3 4 3 2 NA 1
792 3 2 2 3 3 2 2 3 2 2 2 2 2
792 4 4 3 4 4 2 1 2 2 4 2 4 2
792 3 3 3 3 4 2 2 3 2 3 4 4 2
792 4 4 4 4 4 2 1 2 2 2 3 2 1
792 4 3 3 3 3 2 2 2 2 2 2 1 2
792 3 3 3 3 3 1 1 1 1 1 1 1 1
792 3 3 3 3 3 2 2 1 2 2 3 3 3
792 4 4 4 4 4 1 1 1 1 1 1 1 1
792 3 3 3 3 3 4 2 4 4 3 3 4 4
792 3 1 1 3 3 2 2 3 4 3 1 1 2
792 1 1 1 1 1 2 3 2 3 1 2 1 3
792 3 3 2 2 2 2 2 2 2 2 2 2 2
792 3 3 3 3 3 2 2 1 2 2 2 1 1
792 2 2 2 2 2 2 3 4 3 3 4 4 4
792 2 2 2 2 2 4 4 4 4 4 4 4 4
792 2 2 2 2 2 3 2 2 2 2 2 2 2
792 2 2 2 2 2 4 4 4 4 4 4 4 4
792 3 2 3 2 2 3 3 3 3 3 3 3 4
792 3 3 3 3 3 3 2 2 2 2 1 1 1
792 3 3 2 3 3 4 3 3 2 1 1 3 3
792 1 1 1 3 1 2 2 2 2 4 2 4 4
792 3 3 2 2 3 4 2 4 1 3 3 4 4
792 3 2 2 3 3 2 2 2 2 2 1 4 2
792 1 1 1 1 1 1 1 1 1 1 1 1 2
792 1 2 3 4 3 1 2 2 2 2 3 3 2
792 1 1 1 1 1 4 3 4 3 2 3 2 3
792 3 3 3 3 3 2 1 2 1 1 1 2 1
792 2 2 2 2 2 3 3 3 3 3 3 3 3
792 2 2 2 2 2 2 2 2 2 4 2 4 2
792 2 3 3 3 3 2 2 2 2 1 1 2 2
792 3 3 3 3 3 3 2 3 2 2 3 2 2
792 2 2 2 2 3 2 1 2 2 1 2 3 1
792 2 2 2 2 2 1 1 1 1 1 1 1 1
792 4 4 4 4 4 1 1 2 1 1 1 2 1
792 2 3 2 2 2 2 3 3 2 2 2 2 3
792 3 2 2 3 3 2 2 2 2 2 2 2 2
792 2 2 2 2 2 2 2 2 2 2 2 2 2
792 3 3 3 3 3 1 2 2 2 1 1 1 1
792 4 4 4 4 4 1 1 1 1 1 1 1 1
792 2 2 2 2 2 2 2 2 2 2 2 2 2
792 2 3 2 3 3 1 1 1 2 2 2 1 1
792 3 3 3 3 3 3 1 2 3 4 4 3 2
792 2 2 2 3 3 3 2 3 3 2 1 2 3
792 3 3 3 3 3 3 2 2 3 3 3 3 4
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 3 4 3 3 3 2 1 1 2 1 2 3 2
792 4 2 3 3 3 1 1 1 1 1 1 1 1
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 3 3 3 3 3 2 2 2 3 2 2 4 2
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 4 4 4 4 4 1 1 1 1 1 1 1 1
792 3 2 2 3 3 2 1 2 2 2 3 2 3
792 3 3 3 3 3 NA NA NA NA NA NA NA NA
792 1 1 1 1 1 2 2 2 2 2 2 2 2
792 1 1 1 1 1 1 2 3 3 2 2 3 2
792 3 3 3 3 3 2 2 2 2 1 2 1 2
792 2 3 2 3 3 2 1 2 3 3 1 4 2
792 2 2 2 2 2 2 2 2 2 2 2 2 2
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 4 4 4 4 4 1 1 1 1 1 1 1 1
792 3 3 3 3 3 2 2 2 2 2 3 2 3
792 1 1 1 1 1 3 4 2 3 3 2 2 2
792 3 2 3 2 3 3 2 3 2 3 2 3 2
792 3 3 3 3 3 2 4 3 2 2 2 3 2
792 3 3 4 3 3 3 1 2 2 2 1 2 3
792 4 4 4 4 4 1 1 2 1 1 1 1 1
792 3 3 3 4 3 2 1 4 4 3 3 4 4
792 2 1 1 1 1 2 1 2 2 2 2 2 1
792 3 3 3 4 4 1 2 2 2 3 2 4 1
792 4 4 3 4 4 2 3 1 2 2 3 3 3
792 2 3 3 3 3 2 2 2 3 4 3 3 3
792 3 3 3 3 3 4 4 4 4 4 4 4 4
792 3 3 2 2 3 2 1 3 2 3 4 3 2
792 3 3 3 3 3 2 1 1 1 1 1 2 1
792 4 4 4 4 4 1 1 1 1 1 1 1 1
792 3 3 3 3 3 2 2 2 3 3 2 4 2
792 3 3 2 3 3 2 2 2 2 3 2 3 3
792 4 1 4 4 4 1 1 1 1 NA 1 2 1
792 3 1 3 3 3 1 1 1 1 1 1 2 2
792 3 3 3 3 3 2 2 3 2 2 3 2 2
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 3 3 3 3 3 3 2 2 2 2 2 3 2
792 2 2 3 3 3 2 2 2 3 2 1 2 2
792 3 2 3 3 3 2 2 3 2 3 3 3 2
792 4 4 4 4 4 1 1 1 1 1 1 1 1
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 3 3 3 4 4 1 1 1 1 1 1 1 1
792 3 2 3 3 3 2 1 1 2 1 1 3 2
792 1 1 1 1 1 1 2 2 1 2 1 2 1
792 2 3 2 3 3 2 2 2 3 3 3 3 3
792 2 2 3 3 3 2 2 2 2 2 2 2 2
792 3 3 3 4 3 2 2 2 2 2 2 2 2
792 3 3 3 3 3 1 2 1 2 2 1 2 1
792 4 4 4 4 4 1 2 1 2 1 1 2 1
792 3 4 3 3 3 2 2 1 2 2 3 3 2
792 1 1 1 1 1 1 1 1 1 1 1 1 1
792 3 3 4 3 4 3 2 3 4 3 4 2 3
792 1 1 1 2 2 2 2 2 2 2 1 2 1
792 3 3 3 3 3 4 3 3 3 2 1 1 1
792 NA NA NA NA NA 2 2 2 2 2 2 2 2
792 3 3 3 3 3 2 3 3 2 2 4 3 3
792 2 2 2 2 2 3 2 3 3 2 2 3 2
792 3 3 3 3 3 2 2 2 2 1 1 2 1
792 3 3 3 3 3 2 2 2 3 2 4 2 3
792 3 2 2 3 3 2 1 4 1 2 1 2 4
792 NA 4 4 4 3 2 2 3 3 3 2 3 2
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 2 3 2 2 2 3 2 3 3 3 3 2 3
792 3 3 3 4 4 2 1 3 3 3 2 1 1
792 3 3 3 3 3 2 2 2 1 2 1 2 1
792 2 3 3 3 3 4 3 NA 2 3 3 2 3
792 3 3 3 3 3 1 1 1 1 1 1 1 1
792 3 3 3 3 3 1 NA 1 1 1 1 1 1
792 2 2 2 2 2 2 2 2 2 2 2 2 2
792 3 3 3 3 3 3 3 2 3 2 3 3 4
792 3 2 3 3 3 1 1 3 1 1 1 3 4
792 3 3 3 3 3 2 2 3 3 2 1 3 1
792 3 2 2 2 3 3 3 3 3 3 3 3 3
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 2 2 2 2 2 1 1 1 1 1 1 1 1
792 4 4 4 4 4 4 4 4 4 2 2 3 3
792 2 2 2 2 2 4 3 2 2 2 3 2 2
792 2 4 3 3 2 4 4 2 1 NA 2 2 3
792 4 4 4 3 4 2 1 2 2 1 2 3 3
792 3 4 3 3 3 2 2 2 2 2 2 2 2
792 3 3 2 3 3 3 NA 4 4 4 3 4 4
792 3 3 3 3 3 3 3 4 3 4 3 4 3
792 2 2 2 2 2 2 2 1 2 2 2 4 2
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 3 2 2 2 3 2 2 2 2 3 2 3 2
792 1 NA NA NA NA 1 NA NA NA NA NA NA NA
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 3 3 3 4 4 1 2 4 2 2 1 3 2
792 2 3 2 2 3 2 2 2 2 2 2 2 2
792 3 3 3 3 3 3 4 3 2 2 3 3 3
792 1 1 1 1 1 1 1 1 1 1 1 1 1
792 4 3 3 3 3 1 2 NA 1 1 2 1 2
792 4 4 4 4 4 1 1 1 1 1 1 1 1
792 4 4 4 4 4 1 1 1 2 1 1 2 2
792 3 3 3 3 3 2 2 2 2 3 2 4 2
792 3 1 2 2 3 1 1 4 4 2 3 2 4
792 3 3 3 3 3 3 4 2 3 2 3 4 3
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 1 1 1 1 1 2 2 2 2 2 2 2 2
792 3 3 3 3 3 1 1 2 2 2 2 2 2
792 4 3 4 4 4 2 2 2 2 2 2 2 2
792 1 1 1 1 1 2 2 2 2 2 2 2 2
792 3 3 2 3 3 2 1 2 3 4 4 4 2
792 1 1 1 1 1 4 4 4 4 4 4 4 4
792 3 3 3 3 3 2 2 2 2 2 2 3 3
792 3 3 2 3 2 3 3 3 3 3 3 3 3
792 3 3 3 2 3 1 2 2 1 3 3 2 1
792 3 3 3 3 3 2 2 3 1 2 1 2 2
792 2 3 4 2 1 2 3 1 2 2 3 4 1
792 1 2 3 3 3 1 1 1 1 1 1 1 1
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 3 3 3 3 3 2 2 1 1 1 2 1 2
792 3 3 3 3 3 1 1 2 1 1 1 1 1
792 3 2 3 4 4 2 2 2 3 1 2 2 2
792 4 4 4 4 4 1 2 1 1 2 2 3 2
792 4 4 4 4 4 2 3 3 3 3 2 3 3
792 2 3 2 4 3 3 4 3 2 4 4 2 2
792 3 3 3 3 3 2 1 1 2 2 1 2 1
792 3 3 3 3 3 1 1 1 1 NA 1 2 2
792 4 4 4 4 4 1 2 1 1 2 2 3 2
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 3 2 2 2 1 1 2 3 2 1 2 2 4
792 1 1 1 1 NA 1 1 2 2 1 1 1 2
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 3 3 3 3 3 2 3 3 4 4 2 2 2
792 1 2 2 2 1 1 1 1 1 1 1 1 1
792 NA NA NA NA NA NA 1 NA NA NA NA NA NA
792 4 1 3 3 2 1 2 NA 2 3 3 2 3
792 3 3 3 3 3 3 3 3 3 3 3 3 3
792 3 3 3 3 3 4 4 4 4 4 4 4 1
792 2 3 3 3 3 1 1 1 1 1 1 1 1
792 2 2 1 1 1 3 3 3 3 3 3 3 3
792 1 1 1 1 1 NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 2 2 2 2 2 NA NA NA NA NA NA NA NA
792 NA NA NA NA 2 NA NA NA NA NA NA NA 3
792 2 2 2 2 2 2 2 2 2 2 2 2 2
792 4 4 4 4 4 4 1 4 NA 1 1 2 1
792 2 2 3 3 3 2 2 3 3 2 2 3 3
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 1 1 1 2 2 1 1 1 1 1 2 3 4
792 3 3 3 3 3 4 4 4 4 4 4 4 4
792 3 3 3 3 3 2 2 2 3 2 3 2 2
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 3 3 3 3 3 4 4 4 4 4 4 4 4
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 2 2 2 3 3 2 2 2 2 2 2 2 2
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 1 NA 3 NA 3 2 2 2 1 2 3 2 1
792 1 1 1 1 1 1 2 2 2 1 2 2 2
792 NA NA NA NA NA 3 3 3 3 3 3 3 3
792 2 2 2 2 2 1 1 1 1 1 1 1 1
792 NA NA 2 2 2 2 2 3 3 2 3 2 3
792 1 1 1 1 1 4 4 2 2 2 2 2 2
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 2 2 2 2 2 3 2 3 4 3 3 3 2
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 2 NA NA NA NA NA NA NA NA NA NA NA NA
792 3 2 NA 3 3 2 2 2 2 2 2 2 3
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 1 2 3 4 1 1 1 1 1 1 1 2 3
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA 1 1 1 NA NA NA NA NA NA NA NA NA
792 3 NA 3 3 3 3 4 3 3 3 3 3 3
792 NA NA 2 2 2 NA NA NA NA NA NA NA NA
792 NA NA NA 2 2 2 NA 2 NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 3 3 3 3 3 1 2 1 3 3 NA 3 3
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 NA NA NA NA NA 1 2 2 2 1 2 3 3
792 1 1 1 1 1 NA NA NA NA NA NA NA NA
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 1 2 1 2 1 1 1 1 1 4 4 1 1
792 1 1 1 1 2 1 1 1 1 1 1 2 2
792 1 1 1 1 1 4 4 4 4 4 4 4 4
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 2 2 2 2 2 2 2 2 2 2 2 1 1
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 2 3 4 3 3 1 1 2 3 4 3 2 3
792 1 3 2 3 2 1 2 2 1 3 2 2 1
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 3 2 3 3 3 1 2 2 2 2 2 1 2
792 3 3 3 3 3 4 4 NA 4 4 4 4 4
792 4 4 4 4 4 2 2 2 2 2 2 2 2
792 4 4 4 4 3 1 2 2 1 1 2 1 2
792 3 3 3 3 3 2 2 2 2 2 3 2 2
792 3 3 3 3 3 2 4 4 3 3 3 3 4
792 4 4 4 4 4 2 1 3 2 2 1 3 1
792 4 4 4 4 4 2 2 2 1 1 1 1 1
792 2 1 2 3 3 4 4 3 3 3 2 2 2
792 3 3 3 4 4 2 1 1 1 1 1 4 2
792 2 2 2 2 2 2 3 2 2 3 2 3 2
792 2 2 2 2 1 1 1 3 2 1 3 1 2
792 3 3 3 3 2 3 3 2 3 3 2 3 3
792 NA NA NA NA NA NA NA NA NA NA NA NA NA
792 3 3 3 3 3 2 1 1 1 1 1 1 1
792 1 1 1 1 1 2 2 1 1 1 1 2 1
792 3 3 3 3 3 1 NA 2 2 1 2 1 2
792 4 4 3 4 4 2 1 1 1 1 1 2 1
792 3 3 3 3 3 3 3 3 3 3 4 3 3
792 3 4 4 4 NA 3 4 3 2 2 3 3 3
792 3 4 4 4 4 2 1 1 2 1 1 2 1
792 3 3 3 3 3 3 2 2 3 2 1 2 1
792 3 3 3 3 3 2 2 3 3 2 3 1 1
792 3 3 3 3 3 2 2 2 2 2 2 2 2
792 3 3 4 4 4 1 1 2 2 1 1 1 1
792 3 3 3 3 3 2 2 2 2 2 1 1 1
792 3 3 3 3 3 2 2 2 2 2 1 3 1
792 4 3 4 4 4 2 2 3 1 1 2 2 1
792 3 4 2 3 3 1 1 2 2 2 1 2 2
